Function,Class,Method,Group,Milestone,ClassMethod,
Series.quantile,Series,quantile,Computations / descriptive stats,phase 1,Series.quantile,
Series.rank,Series,rank,Computations / descriptive stats,phase 2,Series.rank,
Series.sem,Series,sem,Computations / descriptive stats,,Series.sem,
Series.skew,Series,skew,Computations / descriptive stats,phase 2,Series.skew,
Series.std,Series,std,Computations / descriptive stats,phase 1,Series.std,
Series.sum,Series,sum,Computations / descriptive stats,phase 1,Series.sum,
Series.var,Series,var,Computations / descriptive stats,phase 1,Series.var,
Series.kurtosis,Series,kurtosis,Computations / descriptive stats,,Series.kurtosis,
Series.unique,Series,unique,Computations / descriptive stats,phase 1,Series.unique,
Series.nunique,Series,nunique,Computations / descriptive stats,phase 1,Series.nunique,
Series.is_unique,Series,is_unique,Computations / descriptive stats,,Series.is_unique,
Series.is_monotonic_increasing,Series,is_monotonic_increasing,Computations / descriptive stats,,Series.is_monotonic_increasing,
Series.is_monotonic_decreasing,Series,is_monotonic_decreasing,Computations / descriptive stats,,Series.is_monotonic_decreasing,
Series.value_counts,Series,value_counts,Computations / descriptive stats,phase 2,Series.value_counts,
Series.align,Series,align,Reindexing / selection / label manipulation,,Series.align,
Series.drop,Series,drop,Reindexing / selection / label manipulation,phase 1,Series.drop,
Series.droplevel,Series,droplevel,Reindexing / selection / label manipulation,,Series.droplevel,
Series.drop_duplicates,Series,drop_duplicates,Reindexing / selection / label manipulation,phase 2,Series.drop_duplicates,
Series.duplicated,Series,duplicated,Reindexing / selection / label manipulation,phase 2,Series.duplicated,
Series.equals,Series,equals,Reindexing / selection / label manipulation,,Series.equals,
Series.first,Series,first,Reindexing / selection / label manipulation,on-hold,Series.first,
Series.head,Series,head,Reindexing / selection / label manipulation,phase 1,Series.head,
Series.idxmax,Series,idxmax,Reindexing / selection / label manipulation,phase 2,Series.idxmax,
